PaperCut Print Logger - http://www.papercut.com/,,,,,,,,,,,,,
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
5/5/2019 10:14,KNK,1,1,SHARP AR-6020,Microsoft Word - Maam Flyers,KNK-PC,A5,GDI (Sharp SPLC),,,NOT DUPLEX,GRAYSCALE,81kb
5/5/2019 16:37,KNK,1,1,SHARP AR-6020,Microsoft Word - May 6,KNK-PC,A5,GDI (Sharp SPLC),,,NOT DUPLEX,GRAYSCALE,46kb
5/5/2019 16:39,KNK,6,1,EPSON L120 Series,Microsoft Word - picjenprint,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,195396kb
5/5/2019 16:41,KNK,1,1,SHARP AR-6020,Microsoft Word - May 6,KNK-PC,A5,GDI (Sharp SPLC),,,NOT DUPLEX,GRAYSCALE,46kb
5/5/2019 16:47,KNK,1,1,SHARP AR-6020,Microsoft Word - May 6,KNK-PC,A5,GDI (Sharp SPLC),,,NOT DUPLEX,GRAYSCALE,46kb
5/5/2019 16:49,KNK,1,1,EPSON L120 Series,Microsoft Word - FRONT PAGE,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,19001kb
5/5/2019 17:25,KNK,2,1,EPSON L120 Series,KNK_DAILY_UNDERTAKINGS-5.xlsx,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,49kb
5/5/2019 17:27,KNK,1,1,EPSON L120 Series,papercut-print-log-2019-05-05.csv,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,20kb
5/5/2019 19:18,KNK,2,1,EPSON L120 Series,print2.pdf,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,1252kb
5/5/2019 19:20,KNK,1,1,EPSON L120 Series,print2.pdf,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,1118kb
5/5/2019 19:20,KNK,1,1,EPSON L120 Series,print2.pdf,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,312kb
5/5/2019 19:24,KNK,1,1,EPSON L120 Series,Elma Puyat CMM.xls,KNK-PC,Legal,EMF,,,NOT DUPLEX,NOT GRAYSCALE,276kb
5/5/2019 19:24,KNK,2,1,EPSON L120 Series,ORG SET.UP APRIL 2019.xls,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,337kb
5/5/2019 19:25,KNK,1,1,EPSON L120 Series,ORG SET.UP APRIL 2019.xls,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,323kb
5/5/2019 19:26,KNK,1,1,EPSON L120 Series,ORG SET.UP APRIL 2019.xls,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,323kb
5/5/2019 19:47,KNK,1,1,EPSON L120 Series,Microsoft Word - SHORT,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,22kb
5/5/2019 23:18,KNK,1,1,EPSON L120 Series,KNK_DAILY_UNDERTAKINGS-5.xlsx,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,46kb
